adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,San,19406,MLI004005,ML0405,484782,1,421760,58174,4848,0,0,4848,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Segou,19407,MLI004006,ML0406,1011544,1,900274,101154,10115,0,0,10115,current,2,Jan-May,2021,2,Jan-May,2021,1,,3,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Tominian,19408,MLI004007,ML0407,321329,1,273130,41773,6427,0,0,6427,current,2,Jan-May,2021,2,Jan-May,2021,1,1,3,,Y
Mali,155,MLI,ML,,Sikasso,1933,MLI003,ML03,Bougouni,19409,MLI003001,ML0301,666326,1,586367,79959,0,0,0,0,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Burkina Faso,42,BFA,BF,,Centre,40278,BFA013,BF13,Kadiogo,154450,BFA013000,BF1300,567721,2,295215,272506,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Ganzourgou,154476,BFA055001,BF5501,391766,1,356507,35259,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Oubritenga,154478,BFA055003,BF5503,290266,1,264142,26124,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Kourweogo,154477,BFA055002,BF5502,166150,2,89721,76429,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Bazega,154461,BFA051001,BF5101,281584,1,256241,25343,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Nahouri,154462,BFA051002,BF5102,196039,1,176435,19604,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Zoundweogo,154463,BFA051003,BF5103,301178,1,271060,30118,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Est,40279,BFA048,BF48,Boulgou,154451,BFA048001,BF4801,678453,2,413856,264597,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Est,40279,BFA048,BF48,Kouritenga,154453,BFA048003,BF4803,412735,1,375589,37146,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Est,40279,BFA048,BF48,Koulpelogo,154452,BFA048002,BF4802,328813,1,295932,32881,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
